,carat,cut,color,clarity,depth,table,price
22476,0.3,Ideal,H,VVS2,61.1,55.0,605
22477,1.01,Ideal,F,VS1,61.1,59.0,7870
22478,1.5,Very Good,I,VS2,58.2,60.0,9118
22479,1.2,Premium,G,VVS2,62.8,59.0,10053
22480,0.52,Ideal,E,VS1,61.3,56.0,1726
22481,2.22,Ideal,I,SI2,62.7,61.0,14416
22482,1.05,Very Good,H,SI1,63.1,60.0,4692
22483,0.7,Good,E,VS2,60.1,62.0,2606
22484,0.4,Ideal,G,SI2,62.1,53.0,573
22485,1.57,Ideal,I,VS2,60.4,58.0,10964
22486,1.15,Good,J,SI2,63.8,60.0,3733
22487,1.02,Very Good,D,SI2,62.8,55.0,4964
22488,0.5,Premium,E,VS2,60.7,59.0,1699
22489,0.31,Ideal,G,VS1,61.3,56.0,802
22490,2.0,Good,G,SI2,58.1,64.0,11041
22491,1.32,Fair,E,SI2,65.2,58.0,6221
22492,0.91,Premium,H,SI1,60.2,52.0,2935
22493,2.0,Good,I,VS2,63.5,59.0,14889
22494,1.07,Premium,H,SI2,62.2,59.0,4194
22495,0.52,Ideal,E,VS2,61.8,55.0,1689
22496,0.41,Ideal,F,VVS2,61.7,57.0,1192
22497,1.06,Premium,F,VS2,62.2,57.0,6947
22498,1.03,Ideal,F,VS1,62.1,55.0,8169
22499,0.94,Premium,E,SI2,62.4,58.0,4098
22500,0.34,Very Good,G,VS2,63.1,57.0,765
22501,2.1,Good,I,SI2,62.9,64.0,11818
22502,0.53,Good,G,SI1,63.8,56.0,1268
22503,1.01,Very Good,E,VS2,62.9,57.0,6552
22504,1.24,Ideal,G,SI1,61.0,56.4,6895
22505,0.51,Fair,G,SI1,64.5,56.0,1160
22506,1.01,Very Good,F,VS2,61.1,56.0,5988
22507,0.24,Very Good,F,VVS1,61.7,56.0,485
22508,0.58,Good,E,VVS1,61.9,63.0,2243
22509,0.3,Ideal,G,VS1,62.2,55.0,776
22510,0.7,Very Good,D,SI2,63.1,58.0,1806
22511,0.36,Ideal,J,VS2,61.5,55.0,459
22512,0.51,Very Good,F,VS1,61.4,60.0,1604
22513,1.06,Ideal,F,I1,62.1,55.0,3544
22514,2.01,Ideal,H,VS1,62.9,54.0,17838
22515,1.02,Ideal,G,I1,61.2,56.0,3459
22516,0.35,Ideal,F,SI1,62.5,54.0,583
22517,1.52,Good,G,VS2,63.3,57.0,11235
22518,1.0,Premium,D,SI2,59.9,59.0,4928
22519,0.53,Ideal,D,VS2,60.6,57.0,1857
22520,0.54,Ideal,G,VS1,60.6,56.0,1957
22521,0.71,Ideal,F,VS1,61.5,57.0,3404
22522,1.59,Premium,G,SI1,62.3,60.0,11719
22523,1.04,Ideal,G,SI2,60.4,58.0,4566
22524,0.33,Ideal,I,VVS1,61.7,55.7,570
22525,0.31,Premium,G,SI1,62.4,55.0,593
22526,0.41,Premium,G,VS1,62.3,56.0,961
22527,0.27,Very Good,E,VVS2,60.5,60.0,544
22528,0.9,Ideal,F,I1,61.8,57.0,2634
22529,0.72,Ideal,D,SI1,61.7,55.0,3568
22530,0.5,Premium,D,SI1,62.3,58.0,1654
22531,0.35,Premium,F,VS2,61.5,59.0,906
22532,0.48,Very Good,E,VS2,59.9,58.9,1320
22533,0.82,Premium,G,SI1,59.9,59.0,2893
22534,1.01,Very Good,G,VVS2,63.2,59.0,7267
22535,0.32,Very Good,G,VVS1,61.9,58.0,842
22536,1.34,Premium,H,VS2,62.3,60.0,7630
22537,0.3,Ideal,F,SI1,62.1,55.0,475
22538,1.13,Premium,E,SI1,60.8,58.0,5179
22539,0.5,Premium,D,SI2,62.6,58.0,1243
22540,0.93,Premium,H,SI1,61.8,59.0,3750
22541,1.11,Very Good,F,SI1,60.1,61.0,5384
22542,0.31,Ideal,E,VVS1,62.3,57.0,936
22543,0.7,Ideal,E,VS2,61.7,55.0,3612
22544,0.71,Very Good,F,SI1,63.2,56.0,2198
22545,1.54,Very Good,H,VS2,62.1,62.0,11527
22546,1.12,Ideal,D,SI1,60.5,56.0,7153
22547,0.31,Ideal,E,SI1,61.8,53.9,542
22548,0.5,Ideal,D,VS1,62.3,54.3,2033
22549,0.71,Very Good,E,SI1,63.1,58.0,2511
22550,0.7,Very Good,G,VVS2,60.2,61.0,3052
22551,1.2,Premium,I,VS2,62.6,58.0,5699
22552,1.0,Very Good,E,VS2,62.4,62.0,5544
22553,0.79,Very Good,I,SI1,62.5,57.0,2425
22554,0.4,Very Good,F,VS1,61.3,54.0,890
22555,1.29,Premium,F,SI1,62.5,60.0,7730
22556,2.14,Fair,H,I1,66.4,56.0,6328
22557,0.23,Good,E,VVS2,64.5,55.0,472
22558,0.33,Ideal,F,VS2,61.6,55.0,854
22559,0.54,Premium,E,SI1,59.5,61.0,1356
22560,1.51,Very Good,I,VS2,63.1,56.0,8223
22561,0.3,Ideal,E,VS2,61.8,55.0,844
22562,0.42,Premium,E,VS2,60.9,59.0,1024
22563,0.31,Very Good,G,VS1,60.4,59.0,542
22564,0.4,Premium,H,VVS2,60.9,58.0,1125
22565,0.31,Good,G,SI2,63.2,55.0,408
22566,0.31,Premium,E,VVS1,61.5,58.0,988
22567,1.54,Premium,J,VVS1,62.4,59.0,9383
22568,0.32,Good,D,SI1,63.7,55.0,550
22569,1.0,Good,E,VS1,60.1,63.0,7556
22570,0.3,Ideal,J,VS2,62.1,56.0,384
22571,0.42,Very Good,G,VS2,60.1,61.0,847
22572,1.24,Ideal,G,VS1,60.1,58.0,9123
22573,1.46,Ideal,E,SI2,62.3,55.0,8421
22574,0.74,Very Good,F,VS2,61.3,61.0,2775
22575,1.18,Ideal,I,VVS1,59.7,54.0,6378
22576,0.41,Very Good,G,VS2,61.3,57.0,827
22577,0.52,Very Good,E,VS1,59.8,61.0,1840
22578,0.71,Ideal,E,VS2,61.9,55.0,3773
22579,1.33,Ideal,I,SI1,61.6,57.0,7526
22580,1.2,Ideal,H,SI1,62.7,55.0,6512
22581,0.72,Premium,H,VS2,61.7,56.0,2316
22582,1.18,Premium,I,SI2,61.7,58.0,4639
22583,0.51,Premium,E,VS2,61.5,60.0,1567
22584,0.38,Very Good,D,SI1,59.7,60.0,733
22585,0.7,Good,E,SI2,62.9,56.0,2028
22586,0.32,Ideal,E,VVS2,61.6,57.0,1080
22587,0.39,Very Good,G,VS1,62.4,57.0,855
22588,0.43,Ideal,D,VS2,60.7,57.0,1129
22589,0.7,Very Good,G,SI1,63.5,61.0,2184
22590,0.3,Good,I,IF,63.3,57.0,631
22591,0.9,Ideal,F,VS2,61.6,57.0,5141
22592,0.36,Ideal,G,VVS2,61.8,54.0,794
22593,1.5,Very Good,J,VS1,62.2,58.0,8014
22594,1.01,Premium,G,SI1,60.2,60.0,4805
22595,0.74,Ideal,H,SI1,62.1,56.0,2375
22596,2.01,Very Good,G,SI2,63.3,56.0,12271
22597,0.3,Very Good,H,VVS1,63.1,54.0,819
22598,1.04,Ideal,G,VS2,61.4,57.0,6290
22599,0.42,Ideal,D,VS2,61.2,56.0,1103
22600,0.58,Ideal,H,VS1,61.1,57.0,1759
22601,0.3,Ideal,F,VS1,61.8,55.0,795
22602,0.41,Very Good,H,SI1,60.0,61.0,683
22603,1.03,Very Good,G,SI2,62.2,56.0,4374
22604,0.41,Premium,I,VVS1,59.8,61.0,1107
22605,0.34,Premium,E,VS2,58.8,59.0,956
22606,0.9,Very Good,D,VS1,60.3,58.0,5331
22607,0.37,Premium,F,VS2,60.5,59.0,894
22608,0.52,Ideal,H,VVS1,61.7,55.0,1847
22609,2.35,Very Good,I,SI2,58.5,57.0,15122
22610,0.36,Ideal,H,VVS1,62.0,54.0,783
22611,1.08,Ideal,I,SI2,62.3,57.0,4130
22612,1.01,Ideal,E,VVS1,62.0,57.0,11154
22613,1.0,Very Good,G,SI2,58.2,63.0,3427
22614,1.16,Ideal,J,SI1,61.8,55.0,5124
22615,0.82,Premium,E,SI2,60.0,56.0,2329
22616,1.3,Very Good,I,VS2,62.7,57.0,6290
22617,0.81,Ideal,E,SI2,60.3,57.0,2864
22618,0.65,Good,G,VS1,60.0,60.4,2241
22619,0.34,Ideal,E,VS2,62.2,55.0,956
22620,0.74,Ideal,H,VVS1,61.1,56.0,3804
22621,1.01,Premium,F,VS1,60.8,59.0,7017
22622,0.52,Ideal,H,IF,59.2,58.0,1967
22623,0.28,Very Good,F,VVS2,61.8,60.0,596
22624,0.41,Ideal,D,VS2,62.4,55.0,1007
22625,0.91,Good,I,SI1,64.2,59.0,2700
22626,0.53,Ideal,H,VVS1,61.3,56.0,1781
22627,0.41,Premium,G,VVS1,59.7,60.0,1148
22628,0.46,Very Good,F,SI2,61.5,56.0,809
22629,0.51,Ideal,H,SI2,61.9,54.0,983
22630,0.4,Premium,D,SI2,62.4,58.0,855
22631,0.64,Good,G,VS2,64.1,55.3,1906
22632,0.53,Ideal,E,VS2,62.5,57.0,1607
22633,0.9,Premium,F,SI1,62.6,60.0,3881
22634,2.1,Ideal,I,SI2,61.9,56.0,15653
22635,0.51,Ideal,D,VS2,61.9,57.0,1882
22636,0.31,Ideal,E,VVS2,60.9,55.0,864
22637,1.24,Ideal,F,SI2,60.0,56.0,5000
22638,1.51,Good,G,VS2,64.2,54.0,11640
22639,1.01,Very Good,F,SI1,60.7,58.0,5248
22640,1.06,Ideal,D,IF,61.2,57.0,15813
22641,0.38,Premium,J,VVS2,60.5,59.0,778
22642,1.0,Premium,G,VS1,58.6,61.0,6989
22643,2.0,Very Good,I,SI1,63.6,57.0,14057
22644,0.57,Ideal,G,SI1,62.2,55.0,1441
22645,0.34,Ideal,E,VVS1,62.2,54.0,973
22646,1.71,Ideal,G,VS1,61.4,57.0,17204
22647,0.58,Premium,D,SI1,60.2,58.0,1879
22648,0.5,Good,F,VS2,63.6,58.0,1333
22649,0.3,Ideal,F,VS2,61.6,57.0,776
22650,0.51,Good,G,VVS2,57.6,56.0,1885
22651,0.3,Ideal,I,VVS1,61.9,57.0,709
22652,1.5,Premium,I,SI1,62.0,62.0,8736
22653,1.2,Good,H,SI1,63.6,57.0,5975
22654,0.5,Premium,G,VVS2,61.6,60.0,1935
22655,0.36,Ideal,E,VS2,61.2,56.0,1013
22656,0.41,Good,I,SI1,63.8,57.0,611
22657,0.72,Ideal,I,VVS1,61.3,57.0,2642
22658,0.4,Ideal,G,VS2,61.2,57.0,807
22659,0.43,Premium,F,SI1,61.7,58.0,948
22660,0.39,Ideal,E,I1,62.8,57.0,655
22661,0.68,Good,F,SI1,58.1,60.0,2074
22662,1.51,Fair,G,I1,65.6,54.0,4167
22663,1.51,Ideal,I,SI1,59.4,61.0,8396
22664,1.52,Ideal,H,SI1,61.3,57.0,9448
22665,0.3,Very Good,G,VVS2,59.7,63.0,819
22666,0.31,Premium,H,IF,61.7,58.0,1046
22667,1.51,Very Good,I,SI2,63.1,60.0,6630
22668,1.0,Premium,H,SI1,61.8,60.0,3991
22669,0.4,Premium,E,VS1,60.5,61.0,1125
22670,1.01,Premium,F,VS2,59.2,60.0,6533
22671,1.01,Very Good,E,VS2,63.5,58.0,6787
22672,1.24,Premium,H,SI2,62.3,58.0,4444
22673,1.01,Very Good,I,SI1,63.1,57.0,4313
22674,0.65,Premium,E,SI1,60.5,59.0,1828
22675,0.41,Very Good,G,SI1,62.5,57.0,719
22676,0.24,Ideal,F,VS1,62.7,54.0,572
22677,0.43,Very Good,F,VS2,61.6,59.0,905
22678,0.91,Premium,D,SI2,61.2,58.0,3958
22679,0.32,Ideal,F,VS2,62.3,56.0,828
22680,0.59,Ideal,D,SI1,61.0,57.0,1816
22681,2.17,Good,H,SI2,58.9,62.0,16036
22682,0.54,Ideal,E,VS2,62.2,55.0,1847
22683,0.41,Good,F,VVS1,63.9,56.0,915
22684,0.24,Very Good,H,VVS2,61.3,57.0,449
22685,0.73,Ideal,J,VS1,62.0,53.0,2121
22686,0.31,Ideal,H,VS1,62.0,54.0,544
22687,0.61,Ideal,J,SI1,62.0,55.0,1143
22688,1.7,Very Good,G,VS1,63.5,56.0,15102
22689,0.4,Good,H,VS2,59.4,64.0,730
22690,1.09,Ideal,D,VS1,62.3,56.0,9650
22691,1.25,Good,F,SI2,59.0,61.0,6032
22692,0.33,Ideal,F,VVS2,61.9,56.0,810
22693,2.02,Ideal,J,VS1,61.8,57.0,16397
22694,0.3,Premium,H,VS1,62.3,58.0,526
22695,1.04,Ideal,J,SI1,62.0,53.0,4469
22696,0.36,Ideal,D,VS1,61.8,55.0,1002
22697,0.31,Ideal,G,VVS1,61.6,56.0,816
22698,0.42,Very Good,E,SI2,62.9,56.0,700
22699,0.33,Premium,H,VS1,61.5,58.0,579
22700,0.23,Very Good,E,VVS1,62.2,59.0,465
22701,0.51,Ideal,F,VS1,61.9,56.0,1836
22702,1.01,Premium,F,SI2,61.7,60.0,4616
22703,0.61,Ideal,D,VVS1,62.1,56.0,4241
22704,1.11,Ideal,G,VS1,62.8,55.0,8129
22705,1.3,Very Good,G,VS1,62.5,58.0,10654
22706,1.34,Ideal,I,VS1,62.2,57.0,7016
22707,0.7,Very Good,G,SI2,58.2,63.0,1790
22708,0.97,Fair,F,SI1,56.4,66.0,4063
22709,0.6,Very Good,D,VS2,61.5,59.0,1984
22710,0.31,Ideal,F,SI1,62.3,55.0,490
22711,0.65,Ideal,H,VVS2,61.6,58.0,2210
22712,0.92,Premium,H,VS2,61.3,58.0,4077
22713,0.39,Ideal,F,VS2,60.0,57.0,821
22714,0.51,Ideal,E,VVS1,61.1,54.7,2691
22715,0.5,Ideal,F,VS1,62.1,55.0,1731
22716,1.17,Premium,D,VS1,61.7,59.0,9934
22717,0.82,Ideal,I,VS1,61.3,57.0,3113
22718,1.23,Very Good,H,SI1,61.0,59.0,6458
22719,0.5,Premium,E,VS2,61.4,59.0,1746
22720,0.72,Very Good,J,SI1,63.0,58.0,1989
22721,0.51,Very Good,I,VS1,62.5,59.0,1301
22722,0.31,Premium,G,VS2,61.2,59.0,471
22723,1.08,Ideal,H,SI1,61.8,54.0,5517
22724,1.02,Premium,D,SI2,61.3,62.0,4044
22725,0.32,Ideal,G,IF,61.8,55.0,1020
22726,0.95,Premium,G,SI2,60.5,62.0,3671
22727,0.52,Ideal,G,VVS2,60.8,57.0,1878
22728,0.3,Premium,H,SI1,61.2,60.0,540
22729,1.05,Good,D,SI2,60.0,63.0,4560
22730,0.37,Very Good,E,VS2,61.8,59.0,811
22731,0.42,Very Good,I,SI1,63.5,54.0,829
22732,0.34,Premium,F,SI2,60.0,58.0,447
22733,1.26,Ideal,D,SI2,61.6,56.0,5412
22734,1.01,Ideal,D,SI1,60.8,56.0,5939
22735,1.51,Premium,J,VVS2,62.6,59.0,8930
22736,1.21,Premium,I,VS2,62.6,59.0,4884
22737,0.5,Ideal,H,SI2,62.4,55.0,964
22738,0.82,Ideal,D,SI2,62.1,57.0,3357
22739,0.31,Very Good,I,VVS1,57.7,62.0,613
22740,1.72,Good,F,SI1,63.2,61.0,13499
22741,1.05,Ideal,E,SI1,62.1,57.0,5436
22742,0.82,Premium,H,VS1,62.5,59.0,3008
22743,0.28,Very Good,E,VS1,60.9,59.0,487
22744,0.65,Very Good,I,IF,61.0,55.0,2332
22745,1.03,Ideal,G,VS2,61.1,57.0,7726
22746,0.71,Very Good,H,SI1,62.2,56.0,2188
22747,0.83,Ideal,H,VS2,61.3,54.0,2975
22748,0.4,Very Good,D,VVS2,61.4,58.3,1359
22749,1.13,Premium,F,VS2,59.8,61.0,6822
22750,0.27,Ideal,G,SI2,62.3,55.0,361
22751,0.35,Very Good,G,VVS1,61.8,57.0,859
22752,0.39,Premium,G,VS1,62.6,58.0,855
22753,0.61,Very Good,I,VS2,62.7,57.0,1706
22754,1.23,Premium,I,SI1,62.0,57.0,5717
22755,0.73,Ideal,I,VS2,61.7,55.0,2453
22756,0.29,Very Good,F,VVS2,60.2,58.0,664
22757,0.33,Ideal,D,VS2,62.3,54.0,855
22758,1.51,Premium,F,VS1,62.7,59.0,13134
22759,0.33,Ideal,F,VVS2,62.4,56.0,832
22760,1.04,Premium,E,SI2,59.2,58.0,4566
22761,1.29,Very Good,I,SI1,62.2,58.0,5463
22762,0.28,Good,E,SI1,62.6,60.0,373
22763,0.9,Good,J,VVS2,57.4,61.0,3193
22764,0.58,Ideal,G,VS1,61.8,55.0,1911
22765,1.02,Premium,E,SI2,62.9,56.0,4478
22766,0.48,Good,F,VS1,61.5,60.7,1268
22767,0.53,Ideal,E,VVS1,61.7,57.0,2407
22768,2.11,Very Good,I,VS2,60.3,60.5,16363
22769,0.3,Very Good,I,SI1,63.5,57.0,506
22770,0.38,Premium,H,VVS2,62.0,58.0,833
22771,1.01,Premium,F,SI1,61.9,58.0,4412
22772,1.36,Premium,F,SI2,61.4,59.0,6458
22773,0.24,Very Good,E,VVS2,62.2,56.0,608
22774,0.33,Ideal,I,SI1,62.7,56.0,445
22775,1.51,Very Good,F,SI1,60.7,60.0,11560
22776,0.3,Good,J,SI1,64.0,55.0,439
22777,0.9,Premium,E,SI1,63.0,59.0,4334
22778,1.32,Premium,I,VS1,62.4,58.0,4719
22779,0.25,Ideal,G,VVS2,62.1,57.0,525
22780,1.17,Good,J,SI1,63.9,55.0,4054
22781,1.53,Ideal,H,SI1,59.8,59.0,10063
22782,0.41,Very Good,G,VVS1,60.3,60.0,1151
22783,0.39,Ideal,F,VVS1,61.4,54.0,1129
22784,0.3,Ideal,F,VS2,60.7,56.0,776
22785,0.52,Premium,E,VS1,61.7,58.0,1819
22786,0.38,Good,I,SI1,63.7,57.0,659
22787,0.91,Good,D,SI2,64.7,57.0,3763
22788,2.01,Very Good,D,SI2,61.8,59.0,17079
22789,0.31,Ideal,E,VS2,61.6,56.0,680
22790,1.01,Ideal,G,VVS2,62.2,56.0,8034
22791,0.59,Ideal,H,VVS2,61.8,56.0,1834
22792,1.03,Ideal,F,SI1,62.6,57.0,5366
22793,1.29,Very Good,D,VVS1,60.8,55.0,17932
22794,0.45,Good,F,VS1,60.1,61.8,1262
22795,0.53,Very Good,F,VS2,60.6,55.0,1631
22796,0.71,Very Good,E,SI1,61.3,59.0,2735
22797,1.01,Good,F,VS1,61.8,57.0,6626
22798,1.29,Ideal,D,VS1,62.4,55.0,13485
22799,0.33,Premium,G,VS2,61.1,59.0,743
22800,1.14,Ideal,G,VS2,61.5,57.0,7042
22801,0.32,Ideal,F,VS2,61.6,55.0,828
22802,0.9,Fair,G,SI2,55.9,62.0,3104
22803,1.26,Very Good,G,SI1,63.2,61.0,7000
22804,0.49,Very Good,G,IF,59.7,56.0,1865
22805,0.59,Ideal,E,VVS1,62.0,56.0,2829
22806,1.01,Good,G,SI2,61.1,62.0,3948
22807,0.31,Good,H,VS2,63.8,56.0,470
22808,0.3,Good,F,VS2,63.1,55.0,484
22809,0.5,Good,E,SI1,65.5,56.0,1136
22810,1.02,Premium,G,VS2,62.7,58.0,5407
22811,1.12,Very Good,H,SI2,62.5,58.0,4373
22812,1.01,Fair,D,SI1,66.0,57.0,5385
22813,0.73,Fair,I,I1,70.8,55.0,1049
22814,0.56,Ideal,G,IF,62.0,56.0,2442
22815,2.02,Premium,E,SI2,59.8,58.0,17825
22816,1.01,Premium,D,VS1,61.6,58.0,8823
22817,0.44,Very Good,E,VVS2,60.7,57.0,1274
22818,0.9,Premium,H,SI1,62.0,55.0,3377
22819,0.42,Ideal,H,VVS2,62.4,56.0,984
22820,1.5,Ideal,F,SI1,61.8,56.0,12389
22821,0.57,Ideal,H,SI1,61.8,54.0,1292
22822,0.72,Premium,E,VS2,62.5,59.0,3024
22823,1.17,Ideal,G,VS1,59.4,57.0,7155
22824,0.42,Ideal,H,IF,61.9,56.0,1273
22825,0.8,Premium,H,SI1,61.5,58.0,2760
22826,1.02,Ideal,G,SI1,62.8,57.0,5055
22827,0.55,Very Good,F,SI1,63.1,56.0,1368
22828,0.26,Ideal,H,VS1,62.2,55.0,482
22829,1.07,Premium,H,SI2,61.2,60.0,4494
22830,0.93,Very Good,G,SI1,62.3,58.0,4144
22831,1.06,Good,I,VS1,58.8,62.0,4887
22832,0.66,Ideal,D,VS1,62.1,56.0,2851
22833,0.32,Ideal,H,SI1,61.2,56.0,430
22834,0.54,Good,E,VS2,63.1,58.0,1637
22835,1.06,Ideal,G,VVS2,60.1,57.0,8626
22836,0.31,Good,H,VS2,63.1,57.0,489
22837,1.08,Premium,D,SI1,62.6,56.0,5758
22838,0.78,Premium,F,SI1,61.5,59.0,2816
22839,1.01,Good,G,VS1,63.8,56.0,6283
22840,2.15,Ideal,I,SI1,62.5,57.0,14534
22841,1.05,Very Good,I,SI1,62.6,56.0,4688
22842,0.53,Good,E,VS2,58.6,62.0,1422
22843,0.39,Ideal,F,SI1,61.3,56.0,919
22844,2.01,Ideal,I,SI2,62.1,55.0,12349
22845,0.31,Very Good,D,SI2,62.8,53.0,462
22846,0.53,Ideal,F,IF,61.3,57.0,2682
22847,0.39,Ideal,G,SI1,61.0,55.0,675
22848,0.43,Premium,D,SI2,60.7,58.0,716
22849,0.51,Ideal,D,SI1,62.9,55.0,1346
22850,0.4,Very Good,G,VVS1,61.7,58.0,1123
22851,0.56,Ideal,F,SI1,61.1,56.0,1811
22852,1.52,Premium,D,SI2,61.6,56.0,10487
22853,0.55,Ideal,F,VVS1,60.6,57.0,2716
22854,1.04,Ideal,I,SI2,61.9,56.0,3553
22855,1.06,Premium,F,VVS2,61.8,58.0,9082
22856,0.32,Ideal,G,VVS2,62.4,56.0,730
22857,1.0,Good,E,VS2,64.1,54.0,6315
22858,1.51,Fair,H,SI1,66.5,56.0,8010
22859,0.67,Good,G,VS2,57.5,60.1,2131
22860,1.56,Premium,F,SI1,60.5,59.0,9120
22861,0.51,Good,D,SI1,63.4,59.0,1193
22862,0.45,Fair,E,VS2,66.9,60.0,980
22863,0.32,Ideal,H,VS1,63.0,57.0,720
22864,1.01,Premium,H,SI1,58.8,62.0,4191
22865,0.31,Ideal,G,VVS1,60.6,57.0,816
22866,1.04,Ideal,G,VS1,61.2,58.0,7375
22867,1.01,Ideal,H,SI1,62.3,55.0,5029
22868,0.55,Ideal,D,VS2,60.2,56.0,2459
22869,0.39,Ideal,I,VVS2,62.0,56.0,750
22870,0.89,Premium,I,VS1,62.2,62.0,2955
22871,2.03,Premium,H,I1,59.4,59.0,7421
22872,1.0,Good,D,SI1,63.8,53.0,4928
22873,1.14,Ideal,G,VS1,60.9,57.0,7750
22874,0.3,Ideal,F,IF,61.4,56.0,886
22875,0.38,Premium,G,VS1,61.9,56.0,1069
22876,1.75,Ideal,H,I1,61.5,54.9,7276
22877,0.5,Ideal,H,VS1,61.7,59.0,1429
22878,1.01,Very Good,F,SI1,63.2,56.0,5107
22879,0.73,Good,F,SI2,63.4,55.0,2023
22880,1.02,Ideal,E,SI2,61.6,56.0,4465
22881,0.4,Premium,J,VS1,59.7,59.0,810
22882,0.4,Premium,F,VVS2,62.2,59.0,1088
22883,1.03,Ideal,D,SI2,61.8,56.0,4764
22884,0.72,Ideal,E,SI1,61.0,57.0,2835
22885,0.33,Premium,G,VVS2,62.0,59.0,752
22886,1.58,Ideal,F,VS2,60.0,57.0,14044
22887,1.16,Premium,F,VS2,62.7,58.0,7003
22888,2.13,Premium,G,SI2,60.7,60.0,16778
22889,0.31,Premium,F,SI1,60.6,60.0,663
22890,0.32,Ideal,E,SI1,61.5,55.0,682
22891,0.51,Premium,D,SI1,62.3,57.0,1687
22892,1.02,Ideal,F,SI1,62.3,56.0,5773
22893,1.31,Ideal,F,VS1,61.7,56.0,11136
22894,0.5,Ideal,H,SI1,61.3,54.0,1666
22895,1.07,Premium,F,SI2,61.8,59.0,4560
22896,1.07,Premium,I,VS2,60.7,58.0,4491
22897,1.5,Premium,F,SI1,62.8,56.0,11154
22898,0.54,Good,G,VS1,60.8,62.0,1685
22899,0.39,Ideal,I,SI1,62.1,55.0,609
22900,0.3,Ideal,G,SI1,62.2,57.0,477
22901,0.43,Premium,D,VS2,60.2,59.0,1129
22902,0.35,Very Good,E,IF,57.9,56.0,1025
22903,0.9,Very Good,F,VS1,61.5,55.0,5167
22904,0.51,Premium,G,VS2,62.2,57.0,1546
22905,0.24,Very Good,F,VVS1,58.7,59.0,552
22906,1.58,Premium,H,SI1,61.5,59.0,10738
22907,0.53,Ideal,E,VS2,61.4,56.0,1721
22908,0.34,Premium,G,VS2,61.8,58.0,596
22909,0.34,Premium,G,VS2,60.3,58.0,765
22910,0.43,Very Good,E,SI2,63.4,57.0,858
22911,0.51,Ideal,H,VS2,61.2,53.0,1312
22912,0.34,Ideal,E,VS2,62.1,54.0,956
22913,0.45,Ideal,G,IF,61.7,55.0,1548
22914,0.45,Good,H,VVS1,56.8,64.0,1180
22915,0.34,Very Good,E,VS2,58.8,59.0,745
22916,0.7,Very Good,D,SI2,61.4,58.0,2337
22917,1.5,Ideal,I,SI1,61.8,57.0,8907
22918,1.51,Very Good,I,SI2,63.2,58.0,6914
22919,0.28,Ideal,H,VVS2,61.6,56.0,514
22920,0.31,Ideal,G,VVS1,61.0,57.0,789
22921,0.98,Ideal,I,SI2,62.6,54.0,3873
22922,0.38,Ideal,G,VS2,61.0,55.0,721
22923,1.23,Premium,F,SI2,61.2,58.0,6038
22924,0.24,Ideal,F,VVS1,61.8,59.0,526
22925,0.41,Ideal,J,VS2,62.3,54.0,613
22926,0.9,Good,E,VS2,63.7,54.0,4770
22927,0.56,Ideal,F,VS1,61.7,54.0,1915
22928,2.13,Ideal,I,SI2,62.6,56.0,12356
22929,0.43,Premium,F,VS2,61.2,59.0,968
22930,0.99,Very Good,D,SI1,62.6,57.0,5671
22931,0.74,Ideal,F,SI2,62.0,56.0,2655
22932,0.32,Ideal,F,IF,61.9,55.0,915
22933,1.7,Ideal,F,VS2,62.4,57.0,17360
22934,0.56,Ideal,D,VS1,62.6,55.0,2057
22935,0.32,Ideal,H,VS2,62.0,57.0,505
22936,0.24,Ideal,F,VVS1,62.0,56.0,678
22937,0.72,Ideal,G,VVS2,61.3,56.0,3352
22938,0.36,Ideal,D,VS2,62.5,55.0,773
22939,0.39,Premium,G,SI2,62.7,54.0,746
22940,1.2,Very Good,G,SI2,59.7,59.0,5116
22941,1.7,Premium,F,VS1,58.5,60.0,18398
22942,0.3,Good,H,VVS2,63.6,56.0,776
22943,0.23,Very Good,D,VS2,63.1,58.0,402
22944,0.33,Ideal,E,VS2,61.9,54.0,928
22945,0.31,Premium,I,VS1,60.8,59.0,628
22946,1.03,Ideal,D,SI1,62.4,57.0,5551
22947,0.31,Very Good,I,VS1,63.0,58.0,489
22948,0.75,Ideal,D,VS2,61.1,55.0,3679
22949,1.2,Premium,J,SI2,58.7,59.0,4685
22950,0.9,Very Good,G,SI2,63.1,59.0,3353
22951,0.43,Very Good,H,SI2,60.4,56.0,937
22952,0.76,Ideal,H,SI2,63.0,56.0,2288
22953,0.5,Very Good,E,SI2,63.0,57.0,1077
22954,0.72,Ideal,H,VS2,61.7,57.0,2594
22955,0.5,Premium,E,VS2,61.8,59.0,1420
22956,0.54,Premium,G,VVS2,60.5,55.0,2090
22957,0.32,Premium,G,VS2,61.5,60.0,720
22958,0.71,Fair,D,VS2,64.4,56.0,2596
22959,1.62,Premium,F,SI1,62.6,58.0,13298
22960,1.06,Very Good,G,VS2,63.1,59.0,6325
22961,0.7,Good,D,VS1,63.6,60.0,3001
22962,0.5,Ideal,F,VVS1,60.4,56.0,2165
22963,0.31,Ideal,D,SI2,62.0,56.0,593
22964,1.0,Very Good,F,VVS2,61.4,58.0,8216
22965,0.4,Premium,G,VVS1,60.3,58.0,1155
22966,1.24,Premium,G,SI1,60.5,58.0,6562
22967,1.12,Ideal,I,SI1,61.7,58.0,4811
22968,1.51,Ideal,F,VS2,61.5,57.0,15226
